Month	State	Price
12/1/2021	Wisconsin	240
1/1/2022	Wisconsin	238
2/1/2022	Wisconsin	243
3/1/2022	Wisconsin	258
4/1/2022	Wisconsin	269
5/1/2022	Wisconsin	280
6/1/2022	Wisconsin	288
7/1/2022	Wisconsin	284
8/1/2022	Wisconsin	280
9/1/2022	Wisconsin	274
10/1/2022	Wisconsin	266
11/1/2022	Wisconsin	267
12/1/2022	Wisconsin	259
1/1/2023	Wisconsin	260
2/1/2023	Wisconsin	263
3/1/2023	Wisconsin	280
2/1/2012	West Virginia	128
3/1/2012	West Virginia	134
4/1/2012	West Virginia	142
5/1/2012	West Virginia	125
6/1/2012	West Virginia	139
7/1/2012	West Virginia	145
8/1/2012	West Virginia	140
9/1/2012	West Virginia	152
10/1/2012	West Virginia	140
11/1/2012	West Virginia	140
12/1/2012	West Virginia	139
1/1/2013	West Virginia	136
2/1/2013	West Virginia	141
3/1/2013	West Virginia	141
4/1/2013	West Virginia	137
5/1/2013	West Virginia	155
6/1/2013	West Virginia	149
7/1/2013	West Virginia	170
8/1/2013	West Virginia	157
9/1/2013	West Virginia	157
10/1/2013	West Virginia	150
11/1/2013	West Virginia	161
12/1/2013	West Virginia	151
1/1/2014	West Virginia	148
2/1/2014	West Virginia	146
3/1/2014	West Virginia	145
4/1/2014	West Virginia	151
5/1/2014	West Virginia	165
6/1/2014	West Virginia	163
7/1/2014	West Virginia	177
8/1/2014	West Virginia	169
9/1/2014	West Virginia	159
10/1/2014	West Virginia	149
11/1/2014	West Virginia	152
12/1/2014	West Virginia	151
1/1/2015	West Virginia	160
2/1/2015	West Virginia	155
3/1/2015	West Virginia	156
4/1/2015	West Virginia	163
5/1/2015	West Virginia	163
6/1/2015	West Virginia	187
7/1/2015	West Virginia	180
8/1/2015	West Virginia	162
9/1/2015	West Virginia	172
10/1/2015	West Virginia	156
11/1/2015	West Virginia	167
12/1/2015	West Virginia	155
1/1/2016	West Virginia	156
2/1/2016	West Virginia	172
3/1/2016	West Virginia	153
4/1/2016	West Virginia	169
5/1/2016	West Virginia	171
6/1/2016	West Virginia	182
7/1/2016	West Virginia	182
8/1/2016	West Virginia	168
9/1/2016	West Virginia	176
10/1/2016	West Virginia	178
11/1/2016	West Virginia	166
12/1/2016	West Virginia	173
1/1/2017	West Virginia	169
2/1/2017	West Virginia	170
3/1/2017	West Virginia	174
4/1/2017	West Virginia	173
5/1/2017	West Virginia	179
6/1/2017	West Virginia	191
7/1/2017	West Virginia	189
8/1/2017	West Virginia	182
9/1/2017	West Virginia	188
10/1/2017	West Virginia	179
11/1/2017	West Virginia	183
12/1/2017	West Virginia	191
1/1/2018	West Virginia	181
2/1/2018	West Virginia	175
3/1/2018	West Virginia	180
4/1/2018	West Virginia	182
5/1/2018	West Virginia	191
6/1/2018	West Virginia	195
7/1/2018	West Virginia	198
8/1/2018	West Virginia	203
9/1/2018	West Virginia	192
10/1/2018	West Virginia	186
11/1/2018	West Virginia	181
12/1/2018	West Virginia	196
1/1/2019	West Virginia	207
2/1/2019	West Virginia	181
3/1/2019	West Virginia	188
4/1/2019	West Virginia	188
5/1/2019	West Virginia	210
6/1/2019	West Virginia	207
7/1/2019	West Virginia	213
8/1/2019	West Virginia	205
9/1/2019	West Virginia	198
10/1/2019	West Virginia	194
11/1/2019	West Virginia	204
12/1/2019	West Virginia	207
1/1/2020	West Virginia	205
2/1/2020	West Virginia	205
3/1/2020	West Virginia	208
4/1/2020	West Virginia	211
5/1/2020	West Virginia	216
6/1/2020	West Virginia	213
7/1/2020	West Virginia	218
8/1/2020	West Virginia	233
9/1/2020	West Virginia	234
10/1/2020	West Virginia	217
11/1/2020	West Virginia	223
12/1/2020	West Virginia	233
1/1/2021	West Virginia	239
2/1/2021	West Virginia	240
3/1/2021	West Virginia	244
4/1/2021	West Virginia	243
5/1/2021	West Virginia	264
6/1/2021	West Virginia	269
7/1/2021	West Virginia	270
8/1/2021	West Virginia	261
9/1/2021	West Virginia	253
10/1/2021	West Virginia	286
11/1/2021	West Virginia	264
12/1/2021	West Virginia	260
1/1/2022	West Virginia	268
2/1/2022	West Virginia	269
3/1/2022	West Virginia	273
4/1/2022	West Virginia	291
5/1/2022	West Virginia	292
6/1/2022	West Virginia	289
7/1/2022	West Virginia	289
8/1/2022	West Virginia	278
9/1/2022	West Virginia	284
10/1/2022	West Virginia	282
11/1/2022	West Virginia	281
12/1/2022	West Virginia	269
1/1/2023	West Virginia	284
2/1/2023	West Virginia	289
3/1/2023	West Virginia	292
2/1/2012	Washington	227
3/1/2012	Washington	232
4/1/2012	Washington	252
5/1/2012	Washington	256
6/1/2012	Washington	268
7/1/2012	Washington	263
8/1/2012	Washington	264
9/1/2012	Washington	265
10/1/2012	Washington	262
11/1/2012	Washington	272
12/1/2012	Washington	264
1/1/2013	Washington	248
2/1/2013	Washington	260
3/1/2013	Washington	271
4/1/2013	Washington	277
5/1/2013	Washington	287
6/1/2013	Washington	288
7/1/2013	Washington	301
8/1/2013	Washington	295
9/1/2013	Washington	293
10/1/2013	Washington	287
11/1/2013	Washington	280
12/1/2013	Washington	283
1/1/2014	Washington	271
2/1/2014	Washington	282
3/1/2014	Washington	285
4/1/2014	Washington	293
5/1/2014	Washington	299
6/1/2014	Washington	312
7/1/2014	Washington	313
8/1/2014	Washington	302
9/1/2014	Washington	305
10/1/2014	Washington	301
11/1/2014	Washington	302
12/1/2014	Washington	301
1/1/2015	Washington	291
2/1/2015	Washington	292
3/1/2015	Washington	309
4/1/2015	Washington	321
5/1/2015	Washington	329
6/1/2015	Washington	335
7/1/2015	Washington	332
8/1/2015	Washington	335
9/1/2015	Washington	322
10/1/2015	Washington	323
11/1/2015	Washington	325
12/1/2015	Washington	330
1/1/2016	Washington	315
2/1/2016	Washington	323
3/1/2016	Washington	338
4/1/2016	Washington	345
5/1/2016	Washington	350
6/1/2016	Washington	362
7/1/2016	Washington	356
8/1/2016	Washington	356
9/1/2016	Washington	347
10/1/2016	Washington	350
11/1/2016	Washington	350
12/1/2016	Washington	350
1/1/2017	Washington	339
2/1/2017	Washington	356
3/1/2017	Washington	368
4/1/2017	Washington	377
5/1/2017	Washington	387
6/1/2017	Washington	398
7/1/2017	Washington	398
8/1/2017	Washington	395
9/1/2017	Washington	389
10/1/2017	Washington	387
11/1/2017	Washington	390
12/1/2017	Washington	398
1/1/2018	Washington	377
2/1/2018	Washington	406
3/1/2018	Washington	416
4/1/2018	Washington	433
5/1/2018	Washington	437
6/1/2018	Washington	435
7/1/2018	Washington	427
8/1/2018	Washington	413
9/1/2018	Washington	407
10/1/2018	Washington	411
11/1/2018	Washington	403
12/1/2018	Washington	402
1/1/2019	Washington	393
2/1/2019	Washington	420
3/1/2019	Washington	425
4/1/2019	Washington	438
5/1/2019	Washington	442
6/1/2019	Washington	441
7/1/2019	Washington	431
8/1/2019	Washington	427
9/1/2019	Washington	416
10/1/2019	Washington	424
11/1/2019	Washington	424
12/1/2019	Washington	430
1/1/2020	Washington	418
2/1/2020	Washington	442
3/1/2020	Washington	457
4/1/2020	Washington	454
5/1/2020	Washington	445
6/1/2020	Washington	467
7/1/2020	Washington	474
8/1/2020	Washington	488
9/1/2020	Washington	493
10/1/2020	Washington	493
11/1/2020	Washington	488
12/1/2020	Washington	481
1/1/2021	Washington	480
2/1/2021	Washington	504
3/1/2021	Washington	539
4/1/2021	Washington	555
5/1/2021	Washington	574
6/1/2021	Washington	580
7/1/2021	Washington	580
8/1/2021	Washington	572
9/1/2021	Washington	558
10/1/2021	Washington	564
11/1/2021	Washington	559
12/1/2021	Washington	562
1/1/2022	Washington	548
2/1/2022	Washington	580
3/1/2022	Washington	630
4/1/2022	Washington	651
5/1/2022	Washington	655
6/1/2022	Washington	634
7/1/2022	Washington	611
8/1/2022	Washington	598
9/1/2022	Washington	590
10/1/2022	Washington	590
11/1/2022	Washington	568
12/1/2022	Washington	552
1/1/2023	Washington	554
2/1/2023	Washington	572
3/1/2023	Washington	587
2/1/2012	Virginia	254
3/1/2012	Virginia	269
4/1/2012	Virginia	289
5/1/2012	Virginia	301
6/1/2012	Virginia	315
7/1/2012	Virginia	309
8/1/2012	Virginia	293
9/1/2012	Virginia	289
10/1/2012	Virginia	278
11/1/2012	Virginia	294
12/1/2012	Virginia	291
1/1/2013	Virginia	269
2/1/2013	Virginia	281
3/1/2013	Virginia	297
4/1/2013	Virginia	306
5/1/2013	Virginia	325
6/1/2013	Virginia	340
7/1/2013	Virginia	321
8/1/2013	Virginia	313
9/1/2013	Virginia	305
10/1/2013	Virginia	298
11/1/2013	Virginia	291
12/1/2013	Virginia	303
1/1/2014	Virginia	281
2/1/2014	Virginia	286
3/1/2014	Virginia	299
4/1/2014	Virginia	312
5/1/2014	Virginia	320
6/1/2014	Virginia	338
7/1/2014	Virginia	323
8/1/2014	Virginia	320
9/1/2014	Virginia	301
10/1/2014	Virginia	298
11/1/2014	Virginia	303
12/1/2014	Virginia	318
1/1/2015	Virginia	294
2/1/2015	Virginia	279
3/1/2015	Virginia	286
4/1/2015	Virginia	298
5/1/2015	Virginia	310
6/1/2015	Virginia	315
7/1/2015	Virginia	309
8/1/2015	Virginia	300
9/1/2015	Virginia	287
10/1/2015	Virginia	284
11/1/2015	Virginia	291
12/1/2015	Virginia	296
1/1/2016	Virginia	281
2/1/2016	Virginia	277
3/1/2016	Virginia	286
4/1/2016	Virginia	303
5/1/2016	Virginia	310
6/1/2016	Virginia	323
7/1/2016	Virginia	314
8/1/2016	Virginia	306
9/1/2016	Virginia	292
10/1/2016	Virginia	293
11/1/2016	Virginia	298
12/1/2016	Virginia	302
1/1/2017	Virginia	288
2/1/2017	Virginia	290
3/1/2017	Virginia	299
4/1/2017	Virginia	318
5/1/2017	Virginia	327
6/1/2017	Virginia	335
7/1/2017	Virginia	329
8/1/2017	Virginia	315
9/1/2017	Virginia	301
10/1/2017	Virginia	303
11/1/2017	Virginia	310
12/1/2017	Virginia	311
1/1/2018	Virginia	296
2/1/2018	Virginia	300
3/1/2018	Virginia	317
4/1/2018	Virginia	329
5/1/2018	Virginia	334
6/1/2018	Virginia	343
7/1/2018	Virginia	333
8/1/2018	Virginia	324
9/1/2018	Virginia	310
10/1/2018	Virginia	313
11/1/2018	Virginia	319
12/1/2018	Virginia	318
1/1/2019	Virginia	308
2/1/2019	Virginia	306
3/1/2019	Virginia	318
4/1/2019	Virginia	341
5/1/2019	Virginia	337
6/1/2019	Virginia	343
7/1/2019	Virginia	337
8/1/2019	Virginia	330
9/1/2019	Virginia	318
10/1/2019	Virginia	322
11/1/2019	Virginia	317
12/1/2019	Virginia	330
1/1/2020	Virginia	308
2/1/2020	Virginia	317
3/1/2020	Virginia	338
4/1/2020	Virginia	349
5/1/2020	Virginia	339
6/1/2020	Virginia	345
7/1/2020	Virginia	364
8/1/2020	Virginia	362
9/1/2020	Virginia	357
10/1/2020	Virginia	363
11/1/2020	Virginia	356
12/1/2020	Virginia	349
1/1/2021	Virginia	337
2/1/2021	Virginia	349
3/1/2021	Virginia	366
4/1/2021	Virginia	392
5/1/2021	Virginia	401
6/1/2021	Virginia	406
7/1/2021	Virginia	393
8/1/2021	Virginia	380
9/1/2021	Virginia	376
10/1/2021	Virginia	381
11/1/2021	Virginia	383
12/1/2021	Virginia	377
1/1/2022	Virginia	360
2/1/2022	Virginia	381
3/1/2022	Virginia	410
4/1/2022	Virginia	428
5/1/2022	Virginia	442
6/1/2022	Virginia	430
7/1/2022	Virginia	414
8/1/2022	Virginia	398
9/1/2022	Virginia	390
10/1/2022	Virginia	395
11/1/2022	Virginia	388
12/1/2022	Virginia	378
1/1/2023	Virginia	366
2/1/2023	Virginia	390
3/1/2023	Virginia	399
2/1/2012	Vermont	180
3/1/2012	Vermont	191
4/1/2012	Vermont	196
5/1/2012	Vermont	202
6/1/2012	Vermont	214
7/1/2012	Vermont	213
8/1/2012	Vermont	206
9/1/2012	Vermont	219
10/1/2012	Vermont	191
11/1/2012	Vermont	200
12/1/2012	Vermont	198
1/1/2013	Vermont	195
2/1/2013	Vermont	198
3/1/2013	Vermont	203
4/1/2013	Vermont	211
5/1/2013	Vermont	206
6/1/2013	Vermont	223
7/1/2013	Vermont	210
8/1/2013	Vermont	217
9/1/2013	Vermont	204
10/1/2013	Vermont	202
11/1/2013	Vermont	199
12/1/2013	Vermont	197
1/1/2014	Vermont	203
2/1/2014	Vermont	201
3/1/2014	Vermont	197
4/1/2014	Vermont	210
5/1/2014	Vermont	210
6/1/2014	Vermont	203
7/1/2014	Vermont	219
8/1/2014	Vermont	211
9/1/2014	Vermont	201
10/1/2014	Vermont	199
11/1/2014	Vermont	201
12/1/2014	Vermont	201
1/1/2015	Vermont	184
2/1/2015	Vermont	189
3/1/2015	Vermont	198
4/1/2015	Vermont	213
5/1/2015	Vermont	214
6/1/2015	Vermont	217
7/1/2015	Vermont	208
8/1/2015	Vermont	199
9/1/2015	Vermont	201
10/1/2015	Vermont	199
11/1/2015	Vermont	202
12/1/2015	Vermont	206
1/1/2016	Vermont	198
2/1/2016	Vermont	188
3/1/2016	Vermont	191
4/1/2016	Vermont	208
5/1/2016	Vermont	207
6/1/2016	Vermont	225
7/1/2016	Vermont	219
8/1/2016	Vermont	209
9/1/2016	Vermont	210
10/1/2016	Vermont	213
11/1/2016	Vermont	211
12/1/2016	Vermont	220
1/1/2017	Vermont	203
2/1/2017	Vermont	219
3/1/2017	Vermont	203
4/1/2017	Vermont	207
5/1/2017	Vermont	223
6/1/2017	Vermont	225
7/1/2017	Vermont	229
8/1/2017	Vermont	221
9/1/2017	Vermont	217
10/1/2017	Vermont	222
11/1/2017	Vermont	215
12/1/2017	Vermont	219
1/1/2018	Vermont	209
2/1/2018	Vermont	225
3/1/2018	Vermont	221
4/1/2018	Vermont	223
5/1/2018	Vermont	224
6/1/2018	Vermont	232
7/1/2018	Vermont	231
8/1/2018	Vermont	225
9/1/2018	Vermont	230
10/1/2018	Vermont	235
11/1/2018	Vermont	225
12/1/2018	Vermont	236
1/1/2019	Vermont	220
2/1/2019	Vermont	226
3/1/2019	Vermont	230
4/1/2019	Vermont	225
5/1/2019	Vermont	243
6/1/2019	Vermont	245
7/1/2019	Vermont	250
8/1/2019	Vermont	247
9/1/2019	Vermont	241
10/1/2019	Vermont	249
11/1/2019	Vermont	238
12/1/2019	Vermont	247
1/1/2020	Vermont	239
2/1/2020	Vermont	221
3/1/2020	Vermont	235
4/1/2020	Vermont	266
5/1/2020	Vermont	243
6/1/2020	Vermont	258
7/1/2020	Vermont	264
8/1/2020	Vermont	289
9/1/2020	Vermont	291
10/1/2020	Vermont	292
11/1/2020	Vermont	292
12/1/2020	Vermont	293
1/1/2021	Vermont	272
2/1/2021	Vermont	271
3/1/2021	Vermont	283
4/1/2021	Vermont	297
5/1/2021	Vermont	318
6/1/2021	Vermont	327
7/1/2021	Vermont	321
8/1/2021	Vermont	322
9/1/2021	Vermont	314
10/1/2021	Vermont	323
11/1/2021	Vermont	338
12/1/2021	Vermont	332
1/1/2022	Vermont	337
2/1/2022	Vermont	299
3/1/2022	Vermont	333
4/1/2022	Vermont	384
5/1/2022	Vermont	365
6/1/2022	Vermont	391
7/1/2022	Vermont	370
8/1/2022	Vermont	351
9/1/2022	Vermont	366
10/1/2022	Vermont	361
11/1/2022	Vermont	380
12/1/2022	Vermont	340
1/1/2023	Vermont	332
2/1/2023	Vermont	339
3/1/2023	Vermont	335
2/1/2012	Utah	182
3/1/2012	Utah	182
4/1/2012	Utah	192
5/1/2012	Utah	197
6/1/2012	Utah	195
7/1/2012	Utah	193
8/1/2012	Utah	201
9/1/2012	Utah	200
10/1/2012	Utah	204
11/1/2012	Utah	205
12/1/2012	Utah	202
1/1/2013	Utah	201
2/1/2013	Utah	213
3/1/2013	Utah	210
4/1/2013	Utah	216
5/1/2013	Utah	224
6/1/2013	Utah	224
7/1/2013	Utah	223
8/1/2013	Utah	226
9/1/2013	Utah	231
10/1/2013	Utah	221
11/1/2013	Utah	220
12/1/2013	Utah	225
1/1/2014	Utah	216
2/1/2014	Utah	226
3/1/2014	Utah	223
4/1/2014	Utah	219
5/1/2014	Utah	227
6/1/2014	Utah	228
7/1/2014	Utah	229
8/1/2014	Utah	233
9/1/2014	Utah	228
10/1/2014	Utah	235
11/1/2014	Utah	238
12/1/2014	Utah	235
1/1/2015	Utah	231
2/1/2015	Utah	233
3/1/2015	Utah	232
4/1/2015	Utah	238
5/1/2015	Utah	242
6/1/2015	Utah	248
7/1/2015	Utah	245
8/1/2015	Utah	238
9/1/2015	Utah	243
10/1/2015	Utah	244
11/1/2015	Utah	246
12/1/2015	Utah	243
1/1/2016	Utah	243
2/1/2016	Utah	256
3/1/2016	Utah	248
4/1/2016	Utah	260
5/1/2016	Utah	270
6/1/2016	Utah	266
7/1/2016	Utah	263
8/1/2016	Utah	264
9/1/2016	Utah	264
10/1/2016	Utah	265
11/1/2016	Utah	262
12/1/2016	Utah	266
1/1/2017	Utah	278
2/1/2017	Utah	275
3/1/2017	Utah	280
4/1/2017	Utah	284
5/1/2017	Utah	282
6/1/2017	Utah	289
7/1/2017	Utah	287
8/1/2017	Utah	294
9/1/2017	Utah	288
10/1/2017	Utah	290
11/1/2017	Utah	294
12/1/2017	Utah	290
1/1/2018	Utah	292
2/1/2018	Utah	311
3/1/2018	Utah	305
4/1/2018	Utah	307
5/1/2018	Utah	316
6/1/2018	Utah	329
7/1/2018	Utah	324
8/1/2018	Utah	320
9/1/2018	Utah	318
10/1/2018	Utah	326
11/1/2018	Utah	320
12/1/2018	Utah	313
1/1/2019	Utah	326
2/1/2019	Utah	328
3/1/2019	Utah	319
4/1/2019	Utah	343
5/1/2019	Utah	339
6/1/2019	Utah	340
7/1/2019	Utah	342
8/1/2019	Utah	350
9/1/2019	Utah	344
10/1/2019	Utah	349
11/1/2019	Utah	350
12/1/2019	Utah	359
1/1/2020	Utah	346
2/1/2020	Utah	352
3/1/2020	Utah	353
4/1/2020	Utah	354
5/1/2020	Utah	344
6/1/2020	Utah	364
7/1/2020	Utah	385
8/1/2020	Utah	392
9/1/2020	Utah	422
10/1/2020	Utah	442
11/1/2020	Utah	434
12/1/2020	Utah	416
1/1/2021	Utah	414
2/1/2021	Utah	429
3/1/2021	Utah	451
4/1/2021	Utah	476
5/1/2021	Utah	460
6/1/2021	Utah	494
7/1/2021	Utah	493
8/1/2021	Utah	490
9/1/2021	Utah	505
10/1/2021	Utah	504
11/1/2021	Utah	499
12/1/2021	Utah	524
1/1/2022	Utah	534
2/1/2022	Utah	551
3/1/2022	Utah	558
4/1/2022	Utah	574
5/1/2022	Utah	576
6/1/2022	Utah	561
7/1/2022	Utah	548
8/1/2022	Utah	531
9/1/2022	Utah	532
10/1/2022	Utah	529
11/1/2022	Utah	525
12/1/2022	Utah	513
1/1/2023	Utah	518
2/1/2023	Utah	506
3/1/2023	Utah	526
2/1/2012	Texas	151
3/1/2012	Texas	161
4/1/2012	Texas	162
5/1/2012	Texas	169
6/1/2012	Texas	173
7/1/2012	Texas	170
8/1/2012	Texas	167
9/1/2012	Texas	163
10/1/2012	Texas	162
11/1/2012	Texas	164
12/1/2012	Texas	169
1/1/2013	Texas	155
2/1/2013	Texas	162
3/1/2013	Texas	174
4/1/2013	Texas	183
5/1/2013	Texas	187
6/1/2013	Texas	191
7/1/2013	Texas	189
8/1/2013	Texas	186
9/1/2013	Texas	181
10/1/2013	Texas	178
11/1/2013	Texas	179
12/1/2013	Texas	185
1/1/2014	Texas	171
2/1/2014	Texas	184
3/1/2014	Texas	189
4/1/2014	Texas	191
5/1/2014	Texas	198
6/1/2014	Texas	204
7/1/2014	Texas	201
8/1/2014	Texas	199
9/1/2014	Texas	194
10/1/2014	Texas	192
11/1/2014	Texas	194
12/1/2014	Texas	202
1/1/2015	Texas	189
2/1/2015	Texas	198
3/1/2015	Texas	204
4/1/2015	Texas	208
5/1/2015	Texas	218
6/1/2015	Texas	220
7/1/2015	Texas	215
8/1/2015	Texas	213
9/1/2015	Texas	206
10/1/2015	Texas	205
11/1/2015	Texas	205
12/1/2015	Texas	214
1/1/2016	Texas	201
2/1/2016	Texas	207
3/1/2016	Texas	216
4/1/2016	Texas	221
5/1/2016	Texas	229
6/1/2016	Texas	234
7/1/2016	Texas	229
8/1/2016	Texas	228
9/1/2016	Texas	220
10/1/2016	Texas	220
11/1/2016	Texas	224
12/1/2016	Texas	227
1/1/2017	Texas	214
2/1/2017	Texas	226
3/1/2017	Texas	232
4/1/2017	Texas	236
5/1/2017	Texas	242
6/1/2017	Texas	245
7/1/2017	Texas	240
8/1/2017	Texas	240
9/1/2017	Texas	234
10/1/2017	Texas	230
11/1/2017	Texas	234
12/1/2017	Texas	240
1/1/2018	Texas	227
2/1/2018	Texas	236
3/1/2018	Texas	244
4/1/2018	Texas	246
5/1/2018	Texas	253
6/1/2018	Texas	256
7/1/2018	Texas	251
8/1/2018	Texas	248
9/1/2018	Texas	241
10/1/2018	Texas	241
11/1/2018	Texas	241
12/1/2018	Texas	246
1/1/2019	Texas	231
2/1/2019	Texas	240
3/1/2019	Texas	248
4/1/2019	Texas	253
5/1/2019	Texas	261
6/1/2019	Texas	265
7/1/2019	Texas	258
8/1/2019	Texas	255
9/1/2019	Texas	252
10/1/2019	Texas	253
11/1/2019	Texas	249
12/1/2019	Texas	257
1/1/2020	Texas	243
2/1/2020	Texas	252
3/1/2020	Texas	257
4/1/2020	Texas	258
5/1/2020	Texas	257
6/1/2020	Texas	269
7/1/2020	Texas	277
8/1/2020	Texas	276
9/1/2020	Texas	276
10/1/2020	Texas	279
11/1/2020	Texas	278
12/1/2020	Texas	282
1/1/2021	Texas	273
2/1/2021	Texas	288
3/1/2021	Texas	297
4/1/2021	Texas	308
5/1/2021	Texas	320
6/1/2021	Texas	327
7/1/2021	Texas	325
8/1/2021	Texas	322
9/1/2021	Texas	319
10/1/2021	Texas	322
11/1/2021	Texas	327
12/1/2021	Texas	332
1/1/2022	Texas	324
2/1/2022	Texas	337
3/1/2022	Texas	351
4/1/2022	Texas	364
5/1/2022	Texas	376
6/1/2022	Texas	373
7/1/2022	Texas	362
8/1/2022	Texas	353
9/1/2022	Texas	350
10/1/2022	Texas	346
11/1/2022	Texas	339
12/1/2022	Texas	342
1/1/2023	Texas	332
2/1/2023	Texas	335
3/1/2023	Texas	342
2/1/2012	Tennessee	115
3/1/2012	Tennessee	116
4/1/2012	Tennessee	123
5/1/2012	Tennessee	131
6/1/2012	Tennessee	131
7/1/2012	Tennessee	131
8/1/2012	Tennessee	129
9/1/2012	Tennessee	131
10/1/2012	Tennessee	129
11/1/2012	Tennessee	127
12/1/2012	Tennessee	125
1/1/2013	Tennessee	115
2/1/2013	Tennessee	114
3/1/2013	Tennessee	119
4/1/2013	Tennessee	129
5/1/2013	Tennessee	135
6/1/2013	Tennessee	140
7/1/2013	Tennessee	143
8/1/2013	Tennessee	140
9/1/2013	Tennessee	134
10/1/2013	Tennessee	133
11/1/2013	Tennessee	131
12/1/2013	Tennessee	129
1/1/2014	Tennessee	122
2/1/2014	Tennessee	159
3/1/2014	Tennessee	166
4/1/2014	Tennessee	169
5/1/2014	Tennessee	177
6/1/2014	Tennessee	188
7/1/2014	Tennessee	187
8/1/2014	Tennessee	182
9/1/2014	Tennessee	178
10/1/2014	Tennessee	172
11/1/2014	Tennessee	177
12/1/2014	Tennessee	181
1/1/2015	Tennessee	172
2/1/2015	Tennessee	174
3/1/2015	Tennessee	181
4/1/2015	Tennessee	184
5/1/2015	Tennessee	197
6/1/2015	Tennessee	199
7/1/2015	Tennessee	196
8/1/2015	Tennessee	196
9/1/2015	Tennessee	191
10/1/2015	Tennessee	189
11/1/2015	Tennessee	190
12/1/2015	Tennessee	197
1/1/2016	Tennessee	190
2/1/2016	Tennessee	187
3/1/2016	Tennessee	194
4/1/2016	Tennessee	200
5/1/2016	Tennessee	206
6/1/2016	Tennessee	213
7/1/2016	Tennessee	216
8/1/2016	Tennessee	208
9/1/2016	Tennessee	207
