# name: tangerines_dset
# source: tangerines_dset.csv
# importDate: 2023-05-06T20:05:21.391Z
# attribute -- name: weight, type: numeric, unit: g, precision: 2, editable: true
weight
56.9
56.7
55.8
55.1
54.7
54.3
54.5
53.7
52.8
53.3
52.4
52.4
51.7
51
49.1
49.7
49.7
49.2
