Name,Rank,Height,Hght,Floors,Year,Address,lat,lon
Metropolitan Tower,69,716,218,68,1985,146 West 57th Street,40.765,-73.97916666666667
252 East 57th Street,70,715,218,65,2017,252 East 57th Street,40.75944444444445,-73.96638888888889
100 East 53rd Street,71,711,217,63,2017,100 East 53rd Street,40.75833333333333,-73.9713888888889
270 Park Avenue,72,707,215,52,1960,270 Park Avenue,40.755833333333335,-73.97527777777778
General Motors Building,73,705,215,50,1968,767 Fifth Avenue,40.763888888888886,-73.9725
25 Park Row*,74,702,214,54,2020,25 Park Row,40.71138888888889,-74.00722222222223
Metropolitan Life Insurance Company Tower,75,700,213,50,1909,1 Madison Avenue,40.74111111111111,-73.9875
500 Fifth Avenue,76,697,212,59,1931,500 Fifth Avenue,40.75388888888889,-73.98138888888889
Americas Tower,77,692,211,48,1992,1177 Sixth Avenue,40.757222222222225,-73.98277777777778
Solow Building,78,689,210,49,1974,9 West 57th Street,40.763888888888886,-73.97472222222223
140 Broadway,79,688,210,52,1967,140 Broadway,40.70861111111111,-74.01
277 Park Avenue,80,687,209,50,1963,277 Park Avenue,40.75555555555555,-73.97527777777778
55 Water Street,80,687,209,53,1972,55 Water Street,40.70333333333333,-74.00916666666667
5 Beekman Street,80,687,209,47,2015,5 Beekman Street,40.711111111111116,-74.00694444444444
Morgan Stanley Building,83,685,209,42,1989,1585 Broadway,40.76027777777778,-73.98555555555555
Penguin Random House Tower,84,684,208,52,2003,1745 Broadway,40.765277777777776,-73.9825
Four Seasons Hotel New York,85,682,208,52,1993,57 East 57th Street,40.76222222222222,-73.9713888888889
Sky,86,676,206,61,2015,605 West 42nd Street,40.76138888888889,-73.99861111111112
1221 Avenue of the Americas,87,674,205,51,1972,1221 Sixth Avenue,40.759166666666665,-73.98166666666667
One Grand Central Place,88,673,205,53,1930,60 East 42nd Street,40.75222222222222,-73.97888888888889
One Court Square,88,673,205,50,1990,"2501 Jackson Avenue, Long Island City",40.746944444444445,-73.94388888888889
Barclay Tower,88,673,205,56,2007,10 Barclay Street,40.71222222222222,-74.00916666666667
277 Fifth Avenue,88,673,205,55,2019,277 Fifth Avenue,40.745555555555555,-73.9863888888889
Paramount Plaza,92,670,204,48,1970,1633 Broadway,40.76222222222222,-73.98444444444445
161 Maiden Lane*,92,670,204,60,2020,161 Maiden Lane,40.705555555555556,-74.00472222222223
200 Amsterdam*,94,668,204,55,2020,200 Amsterdam Avenue,40.776666666666664,-73.98333333333333
45 Park Place*,95,667,203,43,2020,45 Park Place,40.71361111111111,-74.01
Trump Tower,96,664,202,58,1982,725 Fifth Avenue,40.7625,-73.9738888888889
1 Wall Street,97,654,199,50,1932,1 Wall Street,40.70722222222223,-74.01166666666667
599 Lexington Avenue,98,653,199,51,1986,599 Lexington Avenue,40.757777777777775,-73.97083333333333
Silver Towers I,98,653,199,58,2009,620 West 42nd Street,40.76083333333333,-73.99916666666667
Silver Towers II,98,653,199,58,2009,620 West 42nd Street,40.76083333333333,-73.99916666666667
712 Fifth Avenue,101,650,198,53,1990,712 Fifth Avenue,40.76222222222222,-73.97500000000001
Chanin Building,102,649,198,56,1929,122 East 42nd Street,40.75111111111111,-73.97555555555556
245 Park Avenue,103,648,198,47,1967,245 Park Avenue,40.755,-73.97500000000001
550 Madison Avenue,104,647,197,37,1983,550 Madison Avenue,40.76138888888889,-73.97333333333333
Tower 28,104,647,197,58,2016,"42-12 28th Street, Long Island City",40.74944444444444,-73.93972222222223
225 Liberty Street,106,645,197,44,1986,225 Liberty Street,40.712500000000006,-74.01527777777778
1095 Avenue of the Americas,107,644,196,43,1974,1095 Sixth Avenue,40.75472222222222,-73.98472222222222
General Electric Building,108,643,196,50,1931,570 Lexington Avenue,40.757222222222225,-73.97222222222223
1 New York Plaza,109,640,195,50,1969,1 Water Street,40.702222222222225,-74.01166666666667
Rose Hill*,110,639,195,45,2020,30 East 29th Street,40.744166666666665,-73.98472222222222
MiMA,111,638,194,63,2011,540 West 42nd Street,40.759166666666665,-73.995
One Dag Hammarskjöld Plaza,112,637,194,48,1972,885 Second Avenue,40.75361111111111,-73.97
345 Park Avenue,113,634,193,44,1969,345 Park Avenue,40.757777777777775,-73.9725
10 East 40th Street,114,632,193,48,1929,10 East 40th Street,40.751666666666665,-73.98138888888889
"The Langham, New York",114,632,193,59,2010,400 Fifth Avenue,40.75,-73.98361111111112
Home Insurance Plaza,116,630,192,44,1966,59 Maiden Lane,40.70861111111111,-74.00777777777778
W. R. Grace Building,116,630,192,50,1972,1114 Sixth Avenue,40.75472222222222,-73.9825
W New York Downtown Hotel and Residences,116,630,192,57,2010,8 Albany Street,40.70916666666667,-74.01388888888889
101 Park Avenue,119,629,192,49,1982,101 Park Avenue,40.75138888888889,-73.97777777777777
888 7th Avenue,120,628,191,45,1971,888 Seventh Avenue,40.765277777777776,-73.98083333333334
Central Park Place,120,628,191,56,1988,301 West 57th Street,40.76694444444444,-73.98305555555555
Waldorf Astoria New York,122,625,191,47,1931,301 Park Avenue,40.756388888888885,-73.97416666666666
1345 Avenue of the Americas,122,625,191,50,1969,1345 Sixth Avenue,40.76305555555555,-73.97888888888889
Trump Palace Condominiums,124,623,190,54,1991,200 East 69th Street,40.7675,-73.96194444444444
One Madison,125,621,189,50,2010,23 East 22nd Street,40.74055555555556,-73.98805555555556
Olympic Tower,126,620,189,51,1976,641 Fifth Avenue,40.759166666666665,-73.97611111111111
11 Hoyt*,126,620,189,51,2020,11 Hoyt Street,40.69,-73.985
425 Fifth Avenue,128,618,188,55,2003,425 Fifth Avenue,40.75111111111111,-73.98222222222222
New York Life Building,129,615,187,33,1928,51 Madison Avenue,40.74277777777778,-73.98555555555555
919 Third Avenue,129,615,187,47,1970,919 Third Avenue,40.759166666666665,-73.96805555555555
Tower 49,129,615,187,44,1985,12 East 49th Street,40.757222222222225,-73.97694444444444
750 7th Avenue,129,615,187,35,1989,750 Seventh Avenue,40.76111111111111,-73.98388888888888
The Epic,129,615,187,61,2007,125 West 31st Street,40.74861111111111,-73.99
Eventi,134,614,187,54,2010,851 Sixth Avenue,40.74722222222222,-73.99027777777778
555TEN,135,612,187,53,2016,555 Tenth Avenue,40.75861111111111,-73.99638888888889
The Hub,136,610,186,54,2016,333 Schermerhorn Street,40.68722222222222,-73.98111111111112
Credit Lyonnais Building,137,609,186,46,1964,1301 Sixth Avenue,40.761944444444445,-73.97972222222222
Baccarat Hotel and Residences,138,605,184,48,2014,28 West 53rd Street,40.76083333333333,-73.9775
The Orion,139,604,184,60,2006,350 West 42nd Street,40.75833333333333,-73.9925
590 Madison Avenue,140,603,184,41,1983,590 Madison Avenue,40.76222222222222,-73.9725
250 West 55th Street,141,602,183,39,2013,250 West 55th Street,40.765,-73.98333333333333
Eleven Times Square,142,601,183,40,2011,11 Times Square,40.75666666666667,-73.98972222222223
1166 Avenue of the Americas,143,600,183,44,1974,1166 Sixth Avenue,40.75694444444444,-73.98194444444445
