Sex,Age,Income,State
Female,070,0009700,California
Male,011,9999999,New Jersey
Female,029,0065000,Virginia
Male,032,0045000,New Mexico
Female,053,0065000,California
Female,051,0039000,New Jersey
Male,004,9999999,New Jersey
Female,000,9999999,Pennsylvania
Female,024,0000000,New Jersey
Female,055,0009300,Georgia
Male,020,0000000,Mississippi
Male,007,9999999,Texas
Male,070,0111200,California
Male,051,0030000,Virginia
Female,025,0032800,Tennessee
Male,069,0110000,Minnesota
Female,062,0012300,Florida
Male,033,0001500,Michigan
Male,071,0048500,South Carolina
Male,004,9999999,Maryland
Male,016,0000000,California
Female,025,0055000,Florida
Female,004,9999999,New York
Male,013,9999999,Ohio
Female,018,0000000,Georgia
Female,037,0060000,California
Male,060,0063000,New Jersey
Female,027,0065000,California
Male,024,0002000,New York
Male,022,0020200,Tennessee
Female,018,0000000,Nevada
Male,076,0037240,Illinois
Female,013,9999999,Missouri
Male,049,0020000,Pennsylvania
Female,068,0020000,New York
Male,021,0015000,Texas
Female,091,0030700,New Jersey
Male,041,0070400,California
Male,066,0009100,Georgia
Male,024,0010000,New Mexico
Female,017,0000000,Arkansas
Male,065,0082400,Oregon
Female,000,9999999,California
Female,062,0065000,Kansas
Male,020,0008400,California
Male,084,0013200,Montana
Female,011,9999999,Maryland
Male,035,0000000,California
Male,024,0030000,New York
Female,068,0017100,Georgia
Female,038,0045800,Washington
Male,077,0067900,Washington
Female,038,0045000,California
Male,078,0043500,Louisiana
Female,012,9999999,New Jersey
Male,048,0000000,Florida
Male,020,0013500,Michigan
Female,064,0080200,Ohio
Male,016,0002400,New Jersey
Male,039,0036000,Maine
Female,074,0014700,Texas
Female,047,0037000,Massachusetts
Female,056,0013200,Maryland
Female,001,9999999,Ohio
Female,077,0015700,New Jersey
Female,037,0000810,Georgia
Male,049,0000000,Texas
Female,001,9999999,Ohio
Male,076,0042900,Virginia
Male,033,0104000,New York
Female,054,0030000,Ohio
Male,075,0011670,Louisiana
Male,015,0000000,Minnesota
Male,005,9999999,Texas
Female,061,0002940,Virginia
Female,020,0026700,Iowa
Male,061,0060000,Tennessee
Female,029,0000000,Texas
Male,013,9999999,Minnesota
Female,020,0001000,Washington
